Company,Sector,NSE_Symbol,CMP_BHAV,MCap_INR_crs,EPS_FY0,EPS_FY1,EPS_FY2,EPS_FY3,Revenue_FY0,Revenue_FY1,Revenue_FY2,Revenue_FY3,BVPS_FY0,BVPS_FY1,BVPS_FY2,BVPS_FY3,PAT_FY0,PAT_FY1,PAT_FY2,PAT_FY3,PE_FY0,PB_FY0,PS_FY0,PE_FY1,PB_FY1,PS_FY1,PE_FY2,PB_FY2,PS_FY2,PE_FY3,PB_FY3,PS_FY3,PE_Avg3,PB_Avg3,PS_Avg3
STAR HEALTH AND ALLIED INSURANCE COMPANY,INSURANCE,STARHEALTH,465.35,26069.21,10.86,13.86,17.75,22.01,15525.22,17695.53,20385.57,23278.54,121.0,132.88,167.74,148.14,645.8602,818.9383,1044.942,1254.72,42.85,3.85,1.68,33.58,3.5,1.47,26.22,2.77,1.28,21.15,3.14,1.12,26.98,3.14,1.29
GO DIGIT GENERAL INSURANCE,INSURANCE,GODIGIT,343.3,34203.53,4.62,6.53,7.84,10.24,9370.72,9824.11,11572.78,13458.99,50.01,51.51,68.69,59.0,424.9398,604.1715,720.9715,929.9332,74.31,6.87,3.65,52.58,6.66,3.48,43.82,5.0,2.96,33.52,5.82,2.54,43.31,5.83,2.99
NIVA BUPA HEALTH INSURANCE COMPANY,INSURANCE,NIVABUPA,75.52,15476.29,1.2,0.75,1.32,2.24,5369.43,6476.7,8138.32,9936.21,20.67,19.7,21.72,20.78,213.51999999999998,131.975,219.5,332.5,62.93,3.65,2.88,100.69,3.83,2.39,57.13,3.48,1.9,33.67,3.63,1.56,63.83,3.65,1.95
Average - General Insurance,NAN,NAN,,269596.13,,,,,124700.07,150714.13,168699.22,177574.76,,,,,11482.0429,13129.327800000001,14890.519499999999,16603.6642,,,2.16,,,1.79,,,1.6,,,1.52,,,1.64
Median - General Insurance,NAN,NAN,,269596.13,,,,,124700.07,150714.13,168699.22,177574.76,,,,,11482.0429,13129.327800000001,14890.519499999999,16603.6642,,,2.16,,,1.79,,,1.6,,,1.52,,,1.64
DIVERSIFIED FINANCIALS,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROKERS,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGEL ONE,DIVERSIFIED FINANCIALS,ANGELONE,2518.1,22178.25,126.82,101.61,135.24,154.85,4952.87,4641.05,5721.27,6213.1,622.57,702.62,847.85,798.58,1172.1,933.8715,1246.443,1425.8,19.86,4.04,4.48,24.78,3.58,4.78,18.62,2.97,3.88,16.26,3.15,3.57,19.89,3.24,4.07
ICICI SECURITIES,DIVERSIFIED FINANCIALS,ISEC,,29148.62,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
MOTILAL OSWAL FINL.SVS.,DIVERSIFIED FINANCIALS,MOTILALOFS,860.5,55496.7,41.01,45.24,52.37,62.45,7118.76,8983.4,10518.85,11772.0,184.87,220.3,313.9,575.31,2501.6400000000003,2828.25,3272.6,3772.1,20.98,4.65,7.8,19.02,3.91,6.18,16.43,2.74,5.28,13.78,1.5,4.71,16.41,2.71,5.39
J M FINANCIAL,DIVERSIFIED FINANCIALS,JMFINANCIL,142.56,18402.29,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
EDELWEISS FNSR.,DIVERSIFIED FINANCIALS,EDELWEISS,106.82,9479.81,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
RELIGARE ENTERPRISES,DIVERSIFIED FINANCIALS,RELIGARE,234.11,8173.82,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
IIFL CAPITAL SERVICES LIMITED,DIVERSIFIED FINANCIALS,IIFLCAPS,310.05,9984.79,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
GEOJIT FINANCIAL SVS.,DIVERSIFIED FINANCIALS,GEOJITFSL,78.52,2059.64,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
SHARE INDIA SECURITIES,DIVERSIFIED FINANCIALS,SHAREINDIA,169.42,3319.36,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
CHOICE INTERNATIONAL,DIVERSIFIED FINANCIALS,CHOICEIN,784.9,16541.9,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
DHANI SERVICES,DIVERSIFIED FINANCIALS,DHANI,,3823.26,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Average - Brokers,NAN,NAN,,178608.46,,,,,12071.63,13624.45,16240.12,17985.1,,,,,3673.7400000000002,3762.1215,4519.043,5197.9,,,14.8,,,13.11,,,11.0,,,9.93,,,11.35
Median - Brokers,NAN,NAN,,178608.46,,,,,12071.63,13624.45,16240.12,17985.1,,,,,3673.7400000000002,3762.1215,4519.043,5197.9,,,14.8,,,13.11,,,11.0,,,9.93,,,11.35
ASSET MANAGEMENT,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
