Company,Sector,NSE_Symbol,CMP_BHAV,MCap_INR_crs,EPS_FY0,EPS_FY1,EPS_FY2,EPS_FY3,Revenue_FY0,Revenue_FY1,Revenue_FY2,Revenue_FY3,BVPS_FY0,BVPS_FY1,BVPS_FY2,BVPS_FY3,PAT_FY0,PAT_FY1,PAT_FY2,PAT_FY3,PE_FY0,PB_FY0,PS_FY0,PE_FY1,PB_FY1,PS_FY1,PE_FY2,PB_FY2,PS_FY2,PE_FY3,PB_FY3,PS_FY3,PE_Avg3,PB_Avg3,PS_Avg3
TEXTILES,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONSUMER ORIENTED,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAGE INDUSTRIES,TEXTILES,PAGEIND,35745.0,52255.88,653.71,722.11,835.14,935.26,4934.91,5497.24,6243.42,6920.19,1261.62,1561.86,2172.36,1852.77,729.1418,808.5352,936.2647999999999,1036.778,54.68,28.33,10.59,49.5,22.89,9.51,42.8,16.45,8.37,38.22,19.29,7.55,43.51,19.54,8.48
VEDANT FASHIONS,TEXTILES,MANYAVAR,598.2,18927.58,15.98,17.4,19.61,22.33,1386.48,1516.85,1686.58,1905.47,73.53,83.06,109.26,94.98,388.472,417.8,469.7223,533.325,37.43,8.14,13.65,34.38,7.2,12.48,30.51,5.47,11.22,26.79,6.3,9.93,30.56,6.33,11.21
ADITYA FASH.& RETAIL,TEXTILES,ABFRL,76.82,9968.63,-4.12,-4.45,-3.2,-2.78,14973.35,9964.14,11348.58,11299.67,56.03,48.54,46.95,45.16,-438.63980000000004,-534.9816,-361.27,-312.12,-18.65,1.37,0.67,-17.28,1.58,1.0,-24.0,1.64,0.88,-27.62,1.7,0.88,-22.97,1.64,0.92
RAYMOND LIFESTYLE,TEXTILES,RAYMONDLSL,1062.0,7183.22,16.5,51.1,72.05,82.4,6176.74,6854.7,7544.15,7977.7,1574.18,1615.5,1748.0,1678.5,100.47,311.05,438.8,501.8,64.36,0.67,1.16,20.78,0.66,1.05,14.74,0.61,0.95,12.89,0.63,0.9,16.14,0.63,0.97
SHEELA FOAM LTD,TEXTILES,SFL,576.1,7722.27,6.02,16.4,20.0,,3439.19,3695.6,4137.5,,,,,,65.5,177.9,217.1,n.a.,95.7,,2.25,35.13,,2.09,28.8,,1.87,,,,31.97,,1.98
PDS,TEXTILES,PDSL,382.6,4576.03,11.28,12.5,18.1,20.5,12577.99,14227.1,15752.5,17375.3,116.98,126.1,154.4,139.4,156.8931,176.9,255.7,289.8,33.92,3.27,0.36,30.61,3.03,0.32,21.14,2.48,0.29,18.66,2.74,0.26,23.47,2.75,0.29
GO FASHION (INDIA),TEXTILES,GOCOLORS,455.15,3766.59,17.31,18.6,22.63,26.4,848.17,937.19,1086.56,1236.82,129.12,145.98,189.72,166.7,93.4987,100.5,122.21430000000001,142.7,26.29,3.52,4.44,24.47,3.12,4.02,20.11,2.4,3.47,17.24,2.73,3.05,20.61,2.75,3.51
ARVIND FASHIONS,TEXTILES,ARVINDFASN,512.9,7135.49,-2.67,11.27,16.27,21.75,4619.84,5188.32,5886.85,6636.07,71.8,83.1,121.8,99.7,-35.57,148.13330000000002,216.175,283.2,-192.1,7.14,1.54,45.52,6.17,1.38,31.51,4.21,1.21,23.58,5.14,1.08,33.54,5.18,1.22
GOKALDAS EXPORTS,TEXTILES,GOKEX,793.9,5218.62,21.45,27.6,39.1,52.75,3864.24,4279.4,4927.5,5673.2,291.14,316.9,429.6,370.2,158.54090000000002,197.225,279.05,376.15,37.01,2.73,1.35,28.76,2.51,1.22,20.3,1.85,1.06,15.05,2.14,0.92,21.37,2.17,1.07
KEWAL KIRAN CLOTHING,TEXTILES,KKCL,489.8,3138.88,23.44,23.45,26.65,30.9,1002.77,1155.85,1306.75,1484.4,133.05,147.8,,165.6,144.48,144.5,164.2,190.4,20.9,3.68,3.13,20.89,3.31,2.72,18.38,,2.4,15.85,2.96,2.11,18.37,3.14,2.41
LUX INDUSTRIES,TEXTILES,LUXIND,1118.7,3913.23,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
DOLLAR INDUSTRIES,TEXTILES,DOLLAR,363.35,2095.94,16.05,22.45,28.35,34.65,1710.46,1902.95,2123.75,2405.45,150.92,168.3,220.0,190.9,91.0355,127.3,160.85,196.45,22.64,2.41,1.23,16.18,2.16,1.1,12.82,1.65,0.99,10.49,1.9,0.87,13.16,1.9,0.99
RUPA,TEXTILES,RUPA,162.13,1575.94,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
CREDO BRANDS MARKETING,TEXTILES,MUFTI,98.1,824.58,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Average - Consumer Oriented,NAN,NAN,,128302.87,,,,,55534.14,55219.35,62044.14,62914.27,,,,,1453.8222,2074.8619000000003,2898.8064,3238.4829999999997,,,2.31,,,2.32,,,2.07,,,2.04,,,2.14
Median - Consumer Oriented,NAN,NAN,,128302.87,,,,,55534.14,55219.35,62044.14,62914.27,,,,,1453.8222,2074.8619000000003,2898.8064,3238.4829999999997,,,2.31,,,2.32,,,2.07,,,2.04,,,2.14
INTEGRATED,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPR MILL,TEXTILES,KPRMILL,974.6,34882.13,23.85,29.38,35.34,39.63,6387.88,7096.66,7917.16,8449.47,146.34,167.75,223.55,193.9,815.1102,1004.3,1207.48,1354.2,40.86,6.66,5.46,33.17,5.81,4.92,27.58,4.36,4.41,24.59,5.03,4.13,28.45,5.07,4.48
TRIDENT,TEXTILES,TRIDENT,26.95,14384.25,0.73,0.9,1.0,1.4,6987.08,7773.4,8558.2,9065.8,9.07,9.9,12.0,10.8,369.88,474.6,513.8,699.5,36.92,2.97,2.06,29.94,2.72,1.85,26.95,2.25,1.68,19.25,2.5,1.59,25.38,2.49,1.71
WELSPUN INDIA,TEXTILES,WELSPUNLIV,135.76,11146.73,6.68,6.1,8.84,10.18,10545.09,10703.39,12201.51,13021.03,50.26,54.63,71.2,61.97,639.1602,608.0145,868.2284999999999,974.6332,20.32,2.7,1.06,22.27,2.48,1.04,15.35,1.91,0.91,13.34,2.19,0.86,16.99,2.19,0.94
INDO COUNT INDS.,TEXTILES,ICIL,269.45,4926.6,12.42,9.85,15.0,19.9,4151.39,4295.15,4957.95,5657.4,,122.1,150.4,134.3,246.004,195.3,297.15,393.2,21.69,,1.19,27.36,2.21,1.15,17.96,1.79,0.99,13.54,2.01,0.87,19.62,2.0,1.0
TECHNOCRAFT INDUSTRIES (INDIA),TEXTILES,TIIL,2253.7,5954.56,,145.6,183.5,,,2984.0,3388.4,,,,,,n.a.,330.1,416.2,n.a.,,,,15.48,,2.0,12.28,,1.76,,,,13.88,,1.88
Average - Integrated,NAN,NAN,,71294.26,,,,,28071.44,32852.6,37023.22,36193.7,,,,,2070.1544,2612.3145,3302.8585,3421.5332,,,2.54,,,2.17,,,1.93,,,1.97,,,2.02
Median - Integrated,NAN,NAN,,71294.26,,,,,28071.44,32852.6,37023.22,36193.7,,,,,2070.1544,2612.3145,3302.8585,3421.5332,,,2.54,,,2.17,,,1.93,,,1.97,,,2.02
YARN & FABRIC PROCESSOR,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VARDHMAN TEXTILES,TEXTILES,VTL,453.0,11959.53,31.05,32.8,40.05,42.0,9784.88,10549.53,11526.28,12105.25,347.82,374.2,441.3,405.9,883.2699,920.4,1127.15,1195.25,14.59,1.3,1.22,13.81,1.21,1.13,11.31,1.03,1.04,10.79,1.12,0.99,11.97,1.12,1.05
ALOK INDUSTRIES,TEXTILES,ALOKINDS,16.04,8962.26,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
ARVIND,TEXTILES,ARVIND,319.7,7664.26,13.49,15.44,22.18,27.82,8328.81,9270.42,10542.86,11679.8,148.9,155.7,196.37,173.93,353.49,400.81669999999997,579.2167999999999,716.8,23.7,2.15,0.92,20.71,2.05,0.83,14.41,1.63,0.73,11.49,1.84,0.66,15.54,1.84,0.74
HIMATSINGKA SEIDE,TEXTILES,HIMATSEIDE,115.79,1571.53,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
CENTURY ENKA,TEXTILES,CENTENKA,438.7,1101.71,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Average - Yarn & Fabric Processor,NAN,NAN,,31259.28,,,,,18113.69,19819.95,22069.14,23785.05,,,,,1236.7599,1321.2167,1706.3668,1912.05,,,1.73,,,1.58,,,1.42,,,1.31,,,1.44
Median - Yarn & Fabric Processor,NAN,NAN,,31259.28,,,,,18113.69,19819.95,22069.14,23785.05,,,,,1236.7599,1321.2167,1706.3668,1912.05,,,1.73,,,1.58,,,1.42,,,1.31,,,1.44
FABRIC PROCESSOR,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADITYA BIRLA REAL ESTATE,TEXTILES,ABREL,1738.7,20396.64,-3.29,-3.57,8.25,68.62,4392.14,783.45,1542.95,4231.38,343.82,345.41,518.0,350.42,-37.31,92.775,106.4,761.475,-528.48,5.06,4.64,-487.03,5.03,26.03,210.75,3.36,13.22,25.34,4.96,4.82,-83.65,4.45,14.69
RAYMOND,TEXTILES,RAYMOND,424.85,4179.43,,13.2,22.4,28.9,1946.84,2278.3,2626.0,3037.7,,453.8,531.1,487.6,n.a.,88.2,149.1,192.2,,,2.15,32.19,0.94,1.83,18.97,0.8,1.59,14.7,0.87,1.38,21.95,0.87,1.6
Aditya Birla Lifestyle Brands Limited,TEXTILES,ABLBL,116.41,17525.97,,,,,,8441.0,9452.96,10481.1,,,,,n.a.,293.7,446.31989999999996,610,,,,,,2.08,,,1.85,,,1.67,,,1.87
GARWARE TECHNICAL FIBRES,TEXTILES,GARFIBRES,689.0,7938.28,23.32,26.65,30.85,39.0,1540.11,1726.2,1941.7,2345.6,125.07,,,,231.54749999999999,264.3,306.4,380.9,29.55,5.51,5.15,25.85,,4.6,22.33,,4.09,17.67,,3.38,21.95,,4.02
JINDAL WORLDWIDE,TEXTILES,JINDWORLD,29.35,3602.35,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
MAYUR UNIQUOTERS,TEXTILES,MAYURUNIQ,480.95,2337.53,34.18,40.3,47.2,55.5,880.14,988.6,1133.6,1327.9,,,,,149.2894,174.9,204.9,241.4,14.07,,2.66,11.93,,2.36,10.19,,2.06,8.67,,1.76,10.26,,2.06
KITEX GARMENTS,TEXTILES,KITEX,188.72,3748.4,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
SIYARAM SILK MILLS,TEXTILES,SIYSIL,631.8,2872.61,,,,,,,,,,,,,n.a.,n.a.,n.a.,n.a.,,,,,,,,,,,,,,,
Average - Fabric Processor,NAN,NAN,,62601.21,,,,,8759.23,14217.55,16697.21,21423.68,,,,,343.52689999999996,913.875,1213.1199,2185.975,,,7.15,,,4.4,,,3.75,,,2.92,,,3.69
Median - Fabric Processor,NAN,NAN,,62601.21,,,,,8759.23,14217.55,16697.21,21423.68,,,,,343.52689999999996,913.875,1213.1199,2185.975,,,7.15,,,4.4,,,3.75,,,2.92,,,3.69
Average - Textiles,NAN,NAN,,293457.63,,,,,110478.5,122109.45,137833.72,144316.7,,,,,5104.2634,6922.2681,9121.1516,10758.0412,,,2.66,,,2.4,,,2.13,,,2.03,,,2.19
Median - Textiles,NAN,NAN,,293457.63,,,,,110478.5,122109.45,137833.72,144316.7,,,,,5104.2634,6922.2681,9121.1516,10758.0412,,,2.66,,,2.4,,,2.13,,,2.03,,,2.19
Average - Grand Total,NAN,NAN,,41793404.65,,,,,14099651.51,15119177.35,16882885.97,18048781.48,,,,,1379962.3063000003,1587051.0067,1857475.269,2043544.9199,,,2.96,,,2.76,,,2.48,,,2.32,,,2.52
Median - Grand Total,NAN,NAN,,41793404.65,,,,,14099651.51,15119177.35,16882885.97,18048781.48,,,,,1379962.3063000003,1587051.0067,1857475.269,2043544.9199,,,2.96,,,2.76,,,2.48,,,2.32,,,2.52
AVERAGE,NAN,NAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large Private Banks,NAN,NAN,,3317187.28,,,,,358871.95,404684.56,457231.82,535428.67,,,,,156520.91,169684.606,198608.185,231213.38800000004,,,9.24,,,8.2,,,7.25,,,6.2,,,7.22
Mid & Small Private Banks,NAN,NAN,,283326.74,,,,,103597.66,110237.53,128132.71,145446.52,,,,,20355.390999999996,22529.5139,29361.839099999997,32434.337,,,2.73,,,2.57,,,2.21,,,1.95,,,2.24
Public Banks,NAN,NAN,,1647711.09,,,,,535415.36,569035.97,629653.7,669973.41,,,,,162592.361,156783.58,173537.57,184421.3,,,3.08,,,2.9,,,2.62,,,2.46,,,2.66
Small Finance Banks,NAN,NAN,,82085.56,,,,,25452.35,29484.58,35502.04,41517.62,,,,,3750.8161999999998,4265.9815,6913.634400000001,8632.993,,,3.23,,,2.78,,,2.31,,,1.98,,,2.36
Banks,NAN,NAN,,5330310.67,,,,,1023337.32,1113442.64,1250520.27,1392366.22,,,,,343219.4782,353263.6814,408421.22849999997,456702.01800000004,,,5.21,,,4.79,,,4.26,,,3.83,,,4.29
Retail & Microfinance,NAN,NAN,,1131683.4,,,,,142145.84,146240.46,176707.89,209704.37,,,,,25864.612500000007,36864.1143,47706.51670000001,57217.6642,,,7.96,,,7.74,,,6.4,,,5.4,,,6.51
Asset Finance,NAN,NAN,,335495.31,,,,,48493.31,56711.28,66693.99,77443.72,,,,,16250.451000000001,19379.105,23312.648,26643.406999999996,,,6.92,,,5.92,,,5.03,,,4.33,,,5.09
Housing Finance,NAN,NAN,,287132.49,,,,,28324.91,32288.9,38142.27,43672.42,,,,,16530.0974,18549.8982,21375.074999999997,24182.493099999996,,,10.14,,,8.89,,,7.53,,,6.57,,,7.67
Gold Finance,NAN,NAN,,150389.94,,,,,32762.19,26884.19,30860.38,34694.38,,,,,7382.171899999999,11032.79,13205.288,14227.881000000001,,,4.59,,,5.59,,,4.87,,,4.33,,,4.93
Infrastructure,NAN,NAN,,448956.14,,,,,142877.14,56770.67,63866.64,67688.69,,,,,41265.740000000005,45384.43,49791.1,51585.84,,,3.14,,,7.91,,,7.03,,,6.63,,,7.19
HOLDCO,NAN,NAN,,615354.38,,,,,133821.1,145212.7,174497.8,191692.3,,,,,11045.973,12178.68,15190.039999999999,16273.7,,,4.6,,,4.24,,,3.53,,,3.21,,,3.66
NBFC,NAN,NAN,,2969011.65,,,,,528424.48,464108.2,550768.97,624895.88,,,,,118339.0458,143389.0175,170580.66770000002,190130.9853,,,5.62,,,6.4,,,5.39,,,4.75,,,5.51
Life Insurance,NAN,NAN,,1068287.02,,,,,1161072.49,1192709.86,1370944.94,1403126.63,,,,,54048.48,57437.60970000001,63377.409199999995,65878.2267,,,0.92,,,0.9,,,0.78,,,0.76,,,0.81
General Insurance,NAN,NAN,,269596.13,,,,,124700.07,150714.13,168699.22,177574.76,,,,,11482.0429,13129.327800000001,14890.519499999999,16603.6642,,,2.16,,,1.79,,,1.6,,,1.52,,,1.64
Brokers,NAN,NAN,,178608.46,,,,,12071.63,13624.45,16240.12,17985.1,,,,,3673.7400000000002,3762.1215,4519.043,5197.9,,,14.8,,,13.11,,,11.0,,,9.93,,,11.35
Asset Management,NAN,NAN,,326407.63,,,,,19066.16,19455.66,22524.86,25972.92,,,,,7993.2350000000015,9247.037899999998,10752.4624,12309.317,,,17.12,,,16.78,,,14.49,,,12.57,,,14.61
Exchanges,NAN,NAN,,146567.91,,,,,4605.37,6007.78,6971.69,7953.74,,,,,2300.5778,3201.7244,3711.4049,4425.3238,,,31.83,,,24.4,,,21.02,,,18.43,,,21.28
Fintech,NAN,NAN,,176459.67,,,,,12600.93,19873.22,24904.75,27919.39,,,,,-1079.161,1418.4057,2759.1058999999996,3986.7676,,,14.0,,,8.88,,,7.09,,,6.32,,,7.43
Rating,NAN,NAN,,48900.52,,,,,3757.77,4083.9,4600.3,5185.6,,,,,854.0791999999999,976.7,1139.4,1314.1,,,13.01,,,11.97,,,10.63,,,9.43,,,10.68
RTA,NAN,NAN,,84988.22,,,,,7192.94,8257.12,9773.43,8911.09,,,,,1888.0911,2034.2649999999999,2471.8324,2512.8683,,,11.82,,,10.29,,,8.7,,,9.54,,,9.51
Diversified Financials,NAN,NAN,,961932.41,,,,,59294.8,71302.14,85015.14,93927.85,,,,,15630.562100000001,20640.254499999995,25353.2486,29746.276699999995,,,16.22,,,13.49,,,11.31,,,10.24,,,11.68
BFSI,NAN,NAN,,10599137.88,,,,,2896829.16,2992276.97,3425948.54,3691891.33,,,,,542719.609,587859.8909,682623.0735,759061.1709,,,3.66,,,3.54,,,3.09,,,2.87,,,3.17
Large Cap IT,NAN,NAN,,2444736.2,,,,,624457.4,650605.43,697337.38,748009.2,,,,,105791.4,110667.51000000001,120304.79,129358.6,,,3.91,,,3.76,,,3.51,,,3.27,,,3.51
Mid / Small Cap IT,NAN,NAN,,674197.47,,,,,163954.19,196536.35,218272.71,241835.22,,,,,15854.633100000001,21102.727600000002,25433.093899999996,29263.6556,,,4.11,,,3.43,,,3.09,,,2.79,,,3.1
ER&D,NAN,NAN,,155166.58,,,,,32770.34,34952.22,39370.56,44287.73,,,,,4183.8867,4305.003500000001,5174.3158,5959.0216,,,4.73,,,4.44,,,3.94,,,3.5,,,3.96
BPO,NAN,NAN,,48130.51,,,,,11337.96,13357.91,15305.89,17368.78,,,,,1126.7383,1398.1766,1717.0488,2044.6049,,,4.25,,,3.6,,,3.14,,,2.77,,,3.17
Data Analytics,NAN,NAN,,14701.98,,,,,847.84,1010.63,1233.93,1448.1,,,,,174.183,198.4667,255.3,300.5,,,17.34,,,14.55,,,11.91,,,10.15,,,12.2
IT Products,NAN,NAN,,110617.98,,,,,15417.61,18274.75,20475.54,13099.25,,,,,835.0139999999999,3661.0332,4234.471100000001,1140.6,,,7.17,,,6.05,,,5.4,,,8.44,,,6.63
IT Enabled Services,NAN,NAN,,17006.8,,,,,876.97,1092.3,1416.4,1149.9,,,,,131.013,176.8,238.1,215.5,,,19.39,,,15.57,,,12.01,,,14.79,,,14.12
SAAS,NAN,NAN,,23171.06,,,,,5794.73,6866.65,8127.19,8334.72,,,,,742.3918,716.78,845,1039.9333000000001,,,4.0,,,3.37,,,2.85,,,2.78,,,3.0
Other IT,NAN,NAN,,42507.87,,,,,3415.31,4430.6,5703.87,7185.92,,,,,496.34400000000005,646.9363000000001,846.5183999999999,1095.2168000000001,,,12.45,,,9.59,,,7.45,,,5.92,,,7.65
IT,NAN,NAN,,3530236.45,,,,,858872.35,927126.85,1007243.47,1082718.82,,,,,129335.6039,142873.4339,159048.63799999998,170417.63220000002,,,4.11,,,3.81,,,3.5,,,3.26,,,3.52
Consumer Staples,NAN,NAN,,1143982.37,,,,,133921.54,146789.04,160552.72,161476.97,,,,,18419.585400000004,19924.964200000002,22677.3602,23508.6898,,,8.54,,,7.79,,,7.13,,,7.08,,,7.33
Edible Oil,NAN,NAN,,196001.66,,,,,109602.97,121477.22,131090.8,151205.34,,,,,4284.9247000000005,4459.308,5409.332,6111.423000000001,,,1.79,,,1.61,,,1.5,,,1.3,,,1.47
Consumer Healthcare,NAN,NAN,,397834.08,,,,,46653.56,50322.34,55105.99,55746.23,,,,,6267.3802,8594.273599999999,9716.0525,9857.805999999999,,,8.53,,,7.91,,,7.22,,,7.14,,,7.42
Consumer Nondiscretionary,NAN,NAN,,32533.61,,,,,5797.56,6562.5,7571.05,8356.32,,,,,247.7778,389,515.5699999999999,644.2750000000001,,,5.61,,,4.96,,,4.3,,,3.89,,,4.38
Beverages,NAN,NAN,,387347.7,,,,,66079.34,60420.46,68707.85,76900.27,,,,,5524.4106999999985,6491.8095,7986.5984,9125.285300000001,,,5.86,,,6.41,,,5.64,,,5.04,,,5.7
Cigarette,NAN,NAN,,561476.83,,,,,69413.52,77319.47,83967.85,90887.22,,,,,20032.55,21088.45,23606.25,25968.579999999998,,,8.09,,,7.26,,,6.69,,,6.18,,,6.71
Dairy Products,NAN,NAN,,35278.83,,,,,19986.63,22619.07,25348.52,28055.95,,,,,735.727,908.4333,1129.6167,713.7,,,1.77,,,1.56,,,1.39,,,1.26,,,1.4
Animal Based,NAN,NAN,,31139.7,,,,,14995.03,15967.3,17327.28,19114.1,,,,,932.1938,996.125,1181.075,1457.8000000000002,,,2.08,,,1.95,,,1.8,,,1.63,,,1.79
FMCG,NAN,NAN,,2785594.77,,,,,466450.16,501477.4,549672.05,591742.4,,,,,56444.549600000006,62852.363600000004,72221.8548,77387.5591,,,5.97,,,5.55,,,5.07,,,4.71,,,5.11
US Generics & Domestic,NAN,NAN,,1217908.57,,,,,226669.32,247277.37,267540.45,288458.44,,,,,39482.145699999994,41322.616700000006,43179.6836,48896.7282,,,5.37,,,4.93,,,4.55,,,4.22,,,4.57
Domestic,NAN,NAN,,252117.02,,,,,39828.72,45729.4,51034.02,56722.95,,,,,5859.570299999999,6815.3141000000005,7860.0726,9417.095800000001,,,6.33,,,5.51,,,4.94,,,4.44,,,4.97
API,NAN,NAN,,310647.8,,,,,29981.28,34479.67,40188.17,37958.05,,,,,4246.6281,5631.3045,7188.5569,7256.089199999999,,,10.36,,,9.01,,,7.73,,,8.18,,,8.31
Export Oriented,NAN,NAN,,123072.21,,,,,52565.49,56590.66,63187.35,45977.17,,,,,9601.2252,6415.2627999999995,7825.0562,4843.9980000000005,,,2.34,,,2.17,,,1.95,,,2.68,,,2.27
MNC,NAN,NAN,,194718.88,,,,,15177.41,17648.95,19336.5,10470.7,,,,,3597.4098999999997,4197.963299999999,4758.755,2353.7,,,12.83,,,11.03,,,10.07,,,18.6,,,13.23
CDMO,NAN,NAN,,130458.62,,,,,21317.1,26634.39,31836.84,37826.94,,,,,1504.1632,2555.3827,4021.9768,5318.466,,,6.12,,,4.9,,,4.1,,,3.45,,,4.15
Pharma,NAN,NAN,,2228923.1,,,,,385539.32,428360.44,473123.34,477414.25,,,,,64291.1424,66937.8441,74834.10110000001,78086.0772,,,5.78,,,5.2,,,4.71,,,4.67,,,4.86
Hospital,NAN,NAN,,504009.45,,,,,67353.26,80418.26,96755.07,111148.16,,,,,6447.558499999999,8434.396099999998,10986.746100000002,13482.9605,,,7.48,,,6.27,,,5.21,,,4.53,,,5.34
Pathology,NAN,NAN,,59160.28,,,,,5878.5,6910.93,8098.53,8026.92,,,,,945.2911999999999,1127.2127,1412.6323,1469.8035,,,10.06,,,8.56,,,7.31,,,7.37,,,7.75
Other Healthcare,NAN,NAN,,64222.95,,,,,12156.79,14355.72,17072.08,19514.45,,,,,1088.3372,1183.2975,1488.4582,1787.498,,,5.28,,,4.47,,,3.76,,,3.29,,,3.84
Healthcare Services,NAN,NAN,,627392.69,,,,,85388.55,101684.92,121925.68,138689.53,,,,,8481.186899999999,10744.906299999999,13887.836600000002,16740.262,,,7.35,,,6.17,,,5.15,,,4.52,,,5.28
Healthcare,NAN,NAN,,2856315.79,,,,,470927.87,530045.36,595049.02,616103.78,,,,,72772.3293,77682.7504,88721.93770000001,94826.3392,,,6.07,,,5.39,,,4.8,,,4.64,,,4.94
OEM,NAN,NAN,,2809134.9,,,,,977608.29,1051306.66,1217382.91,1385606.65,,,,,82354.25299999998,79232.9452,92084.91939999998,101825.8185,,,2.87,,,2.67,,,2.31,,,2.03,,,2.34
Auto Ancillaries,NAN,NAN,,893160.5,,,,,295040.27,323223.02,359440.95,370412.92,,,,,18875.8511,21082.487299999997,25933.3373,27755.36709999999,,,3.03,,,2.76,,,2.48,,,2.41,,,2.55
Batteries,NAN,NAN,,55272.22,,,,,30337.52,32999.54,35811.49,36550.21,,,,,2012.2000999999998,2268.4929,2593.7160000000003,2703.988,,,1.82,,,1.67,,,1.54,,,1.51,,,1.58
Tyres,NAN,NAN,,161660.35,,,,,95135.21,103812.94,113172.46,118883.38,,,,,5818.1832,7134.260200000001,8688.434599999999,9782.58,,,1.7,,,1.56,,,1.43,,,1.36,,,1.45
Automobile,NAN,NAN,,3919227.96,,,,,1398121.29,1511342.16,1725807.81,1911453.17,,,,,109060.48739999998,109718.1856,129300.40729999998,142067.75359999997,,,2.8,,,2.59,,,2.27,,,2.05,,,2.3
Jewellers,NAN,NAN,,428705.62,,,,,99522.61,118768.32,141069.96,164585.94,,,,,4429.377,6932.2037,8449.5317,9988.7162,,,4.31,,,3.61,,,3.04,,,2.6,,,3.08
Footwears,NAN,NAN,,71935.34,,,,,10377.99,11206.39,12533.01,13910.77,,,,,825.833,1069.251,1307.3578000000002,1575.0693999999999,,,6.93,,,6.42,,,5.74,,,5.17,,,5.78
Consumer Electronics,NAN,NAN,,197059.62,,,,,60130.18,84170.98,114223.24,139420.64,,,,,1531.2073,2469.1869000000006,3601.3520000000008,4835.7682,,,3.28,,,2.34,,,1.73,,,1.41,,,1.83
Air Conditioners,NAN,NAN,,88828.76,,,,,30136.9,32410.74,37699.99,43410.72,,,,,1491.4397,1540.5207,2052.4464,2500.6369999999997,,,2.95,,,2.74,,,2.36,,,2.05,,,2.38
Domestic Appliances,NAN,NAN,,127464.96,,,,,42692.9,46941.56,53238.65,57594.43,,,,,2868.3001999999997,3315.6194,4137.209400000001,4763.0594,,,2.99,,,2.72,,,2.39,,,2.21,,,2.44
Luggage,NAN,NAN,,16550.86,,,,,3950.01,4370.57,4963.4,5499.42,,,,,66.18,244.4125,386.90999999999997,480.34000000000003,,,4.19,,,3.79,,,3.33,,,3.01,,,3.38
Paper,NAN,NAN,,16730.48,,,,,8503.79,9109.3,9873.73,7734.6,,,,,485.2999,856.8668,1146.2,1027.4,,,1.97,,,1.84,,,1.69,,,2.16,,,1.9
Consumer Goods,NAN,NAN,,947275.64,,,,,255314.38,306977.86,373601.98,432156.51,,,,,11697.6371,16428.061,21081.0073,25170.990200000004,,,3.71,,,3.09,,,2.54,,,2.19,,,2.6
Retail,NAN,NAN,,633270.15,,,,,214062.7,247910.24,286709.07,322220.71,,,,,6356.663000000001,8476.281,10715.9517,12892.213,,,2.96,,,2.55,,,2.21,,,1.97,,,2.24
Hotels,NAN,NAN,,284772.66,,,,,20347.13,27963.99,31519.11,30756.33,,,,,3575.7666000000004,5985.899899999999,7362.2959,7342.0211,,,14.0,,,10.18,,,9.03,,,9.26,,,9.49
Aviation,NAN,NAN,,241459.45,,,,,86128.59,94730.96,107739.89,120450.52,,,,,7321.168,8778.356,10162.880000000001,10711.880000000001,,,2.8,,,2.55,,,2.24,,,2.0,,,2.26
E-Commerce,NAN,NAN,,603867.36,,,,,58785.92,84746.41,103768.67,127090.23,,,,,-695.7531000000001,391.8394000000006,4364.4895,8660.3458,,,10.27,,,7.13,,,5.82,,,4.75,,,5.9
Travel,NAN,NAN,,112477.93,,,,,17711.81,20157.25,22616.41,24370.99,,,,,2049.456,2352.4703999999997,2798.1038,3144.8884,,,6.35,,,5.58,,,4.97,,,4.62,,,5.06
QSR,NAN,NAN,,90656.34,,,,,21814.0,24703.07,28344.81,32357.12,,,,,27.117700000000035,386.23329999999993,808.5903,1247.1884,,,4.16,,,3.67,,,3.2,,,2.8,,,3.22
Consumer Services,NAN,NAN,,1966503.9,,,,,418850.15,500211.92,580697.96,657245.91,,,,,18634.4182,26371.079999999998,36212.3112,43998.5367,,,4.7,,,3.93,,,3.39,,,2.99,,,3.44
